entry_id,user_email,text,datetime,first_name,last_name
9e7c4b2b-4682-4ceb-86d6-baa4bee6d862,ilanagofman@mentis.com,"Finished a book I've been reading. It's satisfying to see something through to the end.",2025-06-19T21:00:12.433993,Ilana,Gofman
2714b5b0-e004-427a-9241-9c70956afe89,ohadbuskile@mentis.com,"Another night of staring at the ceiling, my mind racing with negative thoughts.",2025-06-20T23:50:33.433993,Ohad,Buskile
70bda12a-1040-45ff-a873-7f6183b29a8d,ilanagofman@mentis.com,"A productive day at work. Ticked off all my main tasks and felt a sense of accomplishment.",2025-06-21T17:35:48.433993,Ilana,Gofman
c2ea34e8-417f-425a-8f67-ff13ae96a870,ohadbuskile@mentis.com,"Felt a crushing weight of loneliness, even when surrounded by people.",2025-06-22T12:18:21.433993,Ohad,Buskile
b9d91974-dec0-46f9-bfb1-66ad3a305e74,ilanagofman@mentis.com,"Cooked a new recipe for dinner and it turned out great. A small, simple joy.",2025-06-23T19:40:00.433993,Ilana,Gofman
7b906969-2c6d-40af-a365-a3ea5db35983,ohadbuskile@mentis.com,"The pressure to be 'okay' is exhausting. I just don't have the energy for it.",2025-06-24T10:02:37.433993,Ohad,Buskile
9256d65c-d08d-46c6-b2df-cef85660c49b,ilanagofman@mentis.com,"Listened to a new album while I worked. The music set a really positive tone for the day.",2025-06-25T11:22:15.433993,Ilana,Gofman
625355ab-6812-4c15-8941-e479ec867e59,ohadbuskile@mentis.com,"Every noise felt too loud, every light too bright. Overstimulated and overwhelmed.",2025-06-26T09:49:37.433993,Ohad,Buskile
4d01b162-aed3-4aa8-884a-882d7ff855b1,ilanagofman@mentis.com,"A long phone call with my sister lifted my spirits. It's good to connect.",2025-06-27T20:00:30.433993,Ilana,Gofman
2d9a6760-70e1-4447-8e02-4bb63d0d45f8,ohadbuskile@mentis.com,"Had to cancel plans again. The guilt is eating at me, but I just couldn't face it.",2025-06-28T18:10:25.422542,Ohad,Buskile
859d3536-447e-4e0b-821f-7973f98973c1,ilanagofman@mentis.com,"The weather was beautiful, so I took my lunch break outside. A welcome change of scenery.",2025-06-29T12:31:37.433993,Ilana,Gofman
edeee02c-88ed-4105-829c-4dc24003636d,ohadbuskile@mentis.com,"A sense of failure is clinging to me. Feels like I'm letting everyone down, especially myself.",2025-06-30T22:20:31.366456,Ohad,Buskile
be526e26-fffa-43e7-9ff9-da84f71d612b,ilanagofman@mentis.com,"Just a steady, functional day. Got things done, stayed afloat, didn't connect with any emotion deeply.",2025-07-01T20:20:37.433993,Ilana,Gofman
ce0dd39b-6247-43c6-9301-d8ad71b00ac1,ohadbuskile@mentis.com,"Today was just about survival. No progress what so evert, just holding on my tears.",2025-07-02T13:51:37.433993,Ohad,Buskile
2a2610b9-fb70-43b4-acf7-496401a50467,ohadbuskile@mentis.com,"The world feels like it's in fast-forward, and I'm stuck in slow motion.",2025-07-04T11:44:37.433993,Ohad,Buskile
5609c3b0-1848-40bf-be64-b96662a0016e,ilanagofman@mentis.com,"Felt a rare but welcome lightness in my chest this morning. It lingered for a while.",2025-07-04T12:13:37.433993,Ilana,Gofman
3f2b7751-a4ba-463b-a366-2328db98be3d,ohadbuskile@mentis.com,"Today felt overwhelmingly heavy. I struggled to get out of bed and the sense of isolation was intense.",2025-07-04T18:48:37.433993,Ohad,Buskile
5a0fcc1a-90cf-4fad-a75a-2e9df7b77466,ilanagofman@mentis.com,"Managed to organize my closet. It's a small thing, but the order feels good.",2025-07-04T19:25:37.433993,Ilana,Gofman
53a6d0bf-232c-4d3f-a169-91c21e018e85,ilanagofman@mentis.com,"Today was just simple and calm. No major events, and that was perfectly fine.",2025-07-05T12:52:37.433993,Ilana,Gofman
8932d2fd-8cf0-4f27-a66c-32a94b88e0f2,ohadbuskile@mentis.com,"A panic attack came out of nowhere. My chest was tight, and I felt like I couldn’t breathe.",2025-07-06T14:17:37.433993,Ohad,Buskile
1fecf732-0b34-41cf-a3e0-8240f87dedc8,ilanagofman@mentis.com,"I had a bad day, I lost tennis in the morning",2025-07-08T17:23:20.084286,Ilana,Gofman
53a6d0bf-232c-4d3f-a169-91c21e018e82,ilanagofman@mentis.com,"I lost a tennis game early in the morning, it made me feel bad and disappointed.",2025-07-08T12:52:37.433993,Ilana,Gofman
